x 0 1 2 3 4 5 6 7 
1120.000000 12.130949 41.061072 14.979819 6.472077 41.088529 28.646706 10.514961 10.514961 
1130.000000 12.238440 41.416911 15.112494 6.531172 41.451095 28.893588 10.608761 10.608761 
1140.000000 12.345932 41.781058 15.243725 6.589722 41.819809 29.145799 10.702561 10.702561 
1150.000000 12.454673 42.141078 15.376473 6.648506 42.177157 29.398010 10.796361 10.796361 
1160.000000 12.567386 42.510425 15.508679 6.705862 42.546300 29.656350 10.890160 10.890160 
1170.000000 12.675786 42.874948 15.640861 6.763750 42.918088 29.914957 10.983960 10.983960 
1180.000000 12.789256 43.243652 15.775739 6.821052 43.281512 30.156110 11.077760 11.077760 
1190.000000 12.897126 43.609247 15.912050 6.878510 43.645937 30.397130 11.171560 11.171560 
1200.000000 13.012298 43.989208 16.048879 6.933824 44.012435 30.655070 11.265360 11.265360 
1210.000000 13.123422 44.362361 16.186129 6.990132 44.379005 30.901153 11.359160 11.359160 
1220.000000 13.229136 44.727259 16.320995 7.048463 44.737282 31.148568 11.452959 11.452959 
1230.000000 13.333676 45.095588 16.455248 7.106573 45.095631 31.405176 11.546759 11.546759 
1240.000000 13.439617 45.457430 16.591836 7.164180 45.459413 31.657120 11.640559 11.640559 
1250.000000 13.547941 45.822650 16.722344 7.223278 45.814116 31.917193 11.734359 11.734359 
1260.000000 13.656833 46.189049 16.858968 7.280286 46.177969 32.169404 11.828159 11.828159 
1270.000000 13.763417 46.554429 16.989525 7.339283 46.541965 32.421349 11.921959 11.921959 
1280.000000 13.871930 46.921525 17.122586 7.396991 46.911895 32.675425 12.015758 12.015758 
1290.000000 13.982070 47.295000 17.259691 7.453945 47.264596 32.925372 12.109558 12.109558 
1300.000000 14.091719 47.662310 17.399494 7.509401 47.637599 33.184645 12.203358 12.203358 
1310.000000 14.201670 48.026512 17.534553 7.567181 47.993232 33.443917 12.297158 12.297158 
1320.000000 14.313286 48.397896 17.668119 7.624142 48.358300 33.708253 12.390958 12.390958 
1330.000000 14.419907 48.765689 17.803816 7.681677 48.716506 33.964461 12.484758 12.484758 
1340.000000 14.532696 49.128013 17.933843 7.739906 49.086221 34.227997 12.578557 12.578557 
1350.000000 14.639356 49.491571 18.065844 7.799089 49.442354 34.475546 12.672357 12.672357 
1360.000000 14.749874 49.859471 18.198327 7.857264 49.801418 34.725892 12.766157 12.766157 
1370.000000 14.857820 50.226460 18.331280 7.915087 50.168559 34.984631 12.859957 12.859957 
