x 0 1 2 3 4 5 6 7 8 
2840 445089 179348 30133 1079 9 2214782 491252 1576630 5413454 
2850 443472 181097 30582 1115 9 2215997 496498 1578088 5439104 
2860 442016 182755 31041 1128 9 2217227 501965 1579569 5464479 
2870 440517 184381 31535 1142 9 2218706 507230 1581024 5490000 
2880 438975 186061 32004 1161 9 2219903 512686 1582498 5515439 
2890 437345 187775 32497 1184 9 2220989 518341 1583892 5540580 
2900 435975 189449 32880 1198 9 2222741 523617 1585695 5565376 
2910 434407 191123 33372 1198 9 2223621 529006 1587140 5591248 
2920 433067 192754 33799 1198 9 2225209 534146 1588854 5616457 
2930 431453 194474 34277 1198 9 2226261 539464 1590315 5642308 
2940 429867 196171 34769 1201 9 2227439 545117 1591735 5667496 
2950 428260 197870 35275 1201 9 2228800 550394 1593180 5693194 
2960 426671 199557 35782 1201 9 2229926 555913 1594661 5718580 
2970 425127 201196 36285 1202 9 2231041 561384 1596099 5744198 
2980 423541 202915 36743 1207 9 2232263 566768 1597579 5769763 
2990 422036 204464 37242 1261 9 2233254 572259 1599021 5795304 
3000 420582 206044 37713 1286 9 2234850 577682 1600624 5820348 
3010 419400 207614 38122 1308 9 2236940 582648 1602599 5844926 
3020 418219 209282 38450 1320 9 2238730 587674 1604610 5869803 
3030 416621 211130 38828 1325 9 2240357 592952 1606231 5895022 
3040 415077 212911 39260 1332 9 2241798 598231 1607745 5920441 
3050 413598 214594 39733 1341 9 2243530 603527 1609296 5945379 
3060 412203 216152 40255 1350 9 2245068 608870 1610968 5970483 
3070 410788 217752 40659 1392 9 2246256 614239 1612530 5995997 
3080 409311 219428 41133 1396 9 2247666 619367 1614296 6021355 
3090 407662 221134 41658 1408 9 2248799 624908 1615781 6046589 
3100 406230 222906 42054 1413 9 2250199 630215 1617472 6071760 
3110 404829 224559 42503 1422 9 2251587 635551 1619209 6096806 
3120 403249 226268 42994 1436 9 2252678 641192 1620674 6121991 
3130 401658 227984 43457 1445 9 2253650 646585 1622156 6147781 
3140 400065 229744 43877 1470 9 2254737 651962 1623600 6173564 
3150 398528 231439 44339 1492 9 2255994 657283 1625047 6199009 
3160 396967 233163 44778 1502 9 2257175 662553 1626516 6224748 
3170 395356 235014 45194 1512 9 2258365 667905 1628038 6250187 
3180 393863 236601 45692 1522 9 2259684 673260 1629571 6275693 
3190 392316 238317 46156 1531 9 2260734 678482 1631087 6301570 
3200 390754 240013 46630 1549 9 2261917 683835 1632501 6327137 
3210 389208 241713 47104 1568 9 2263241 689203 1633942 6352521 
3220 387699 243395 47566 1589 9 2264503 694692 1635545 6377702 
3230 386649 244938 47934 1609 10 2266389 699640 1637749 6402301 
3240 384978 246826 48351 1615 10 2267760 704828 1639328 6427803 
3250 383455 248558 48815 1621 10 2269130 710144 1640820 6453273 
3260 381869 250282 49267 1642 10 2270436 715558 1642268 6478590 
3270 380258 252062 49696 1653 10 2271662 720861 1643671 6504367 
3280 378648 253749 50166 1670 10 2272974 726245 1645159 6529767 
3290 377116 255481 50640 1678 10 2274168 731771 1646625 6554976 
3300 375572 257225 51103 1691 10 2275741 737169 1648130 6580121 
3310 373899 259058 51537 1706 10 2276753 742714 1649665 6605392 
